lon,lat,id,bus,public_transport,highway,crossing,traffic_signals,operator,trolleybus,railway,barrier
30.7267351,46.4179978,4374904173,1,1,0,0,0,0,0,0,0
30.7287518,46.4181134,352682638,0,0,0,0,0,0,0,0,0
30.7299896,46.4181917,2142884470,0,0,0,0,0,0,0,0,0
30.730786,46.4182419,3085790909,0,0,0,0,0,0,0,0,0
30.7333802,46.4183977,27126458,0,0,0,0,0,0,0,0,0
30.7358458,46.4185426,352666805,0,0,0,0,0,0,0,0,0
30.7374967,46.418635,4775806433,0,0,0,0,0,0,0,0,0
30.7378364,46.418654,27126460,0,0,0,0,0,0,0,0,0
30.7397234,46.4187348,27126461,0,0,0,0,0,0,0,0,0
30.7399051,46.4187543,7060151865,0,0,0,0,0,0,0,0,0
30.7400713,46.4187802,352683152,0,0,0,0,0,0,0,0,0
30.7373948,46.536102,3785197892,0,0,0,0,0,0,0,0,0
30.7377834,46.5364159,5207462665,0,0,0,0,0,0,0,0,0
30.7378611,46.5364826,1238430929,0,0,0,0,0,0,0,0,0
30.7381458,46.5367196,4615218253,0,0,0,0,0,0,0,0,0
30.7393803,46.537747,4615218348,0,0,0,0,0,0,0,0,0
30.7403442,46.5385466,4592397890,1,1,0,0,0,0,0,0,0
30.7405641,46.5387264,1238431001,0,0,0,0,0,0,0,0,0
30.7407662,46.5388935,5042548387,1,1,0,0,0,0,0,0,0
30.7408976,46.5390029,3888195586,0,0,0,0,0,0,0,0,0
30.7413286,46.5393619,5147532350,0,0,0,0,0,0,0,0,0
30.7878056,46.5648439,912018189,0,0,0,0,0,0,0,0,0
30.7882392,46.5650196,2071754834,0,0,0,0,0,0,0,0,0
30.7885018,46.5651104,3602633501,0,0,0,0,0,0,0,0,0
30.7888035,46.5651691,2107240159,0,0,0,0,0,0,0,0,0
30.7902338,46.5653275,6725113481,0,0,0,0,0,0,0,0,0
30.7906746,46.5653865,27128521,0,0,0,0,0,0,0,0,0
30.7903349,46.5654151,6725133287,0,0,0,0,0,0,0,0,0
30.7901478,46.5654539,8060370129,0,0,0,0,0,0,0,0,0
