,Id,route_distance_km,delta_time,bus,public_transport,traffic_signals,operator,trolleybus,barrier,highway,crossing,railway,bus_yes,public_transport_stop_position,traffic_signals_crossing,traffic_signals_signal,traffic_signals_traffic_lights,traffic_signals_tram_priority,trolleybus_yes,barrier_block,barrier_bollard,barrier_chain,barrier_entrance,barrier_gate,barrier_height_restrictor,barrier_lift_gate,barrier_swing_gate,highway_bus_stop,highway_crossing,highway_give_way,highway_motorway_junction,highway_traffic_signals,crossing_marked,crossing_no,crossing_traffic_signals,crossing_uncontrolled,crossing_unmarked,crossing_zebra,railway_level_crossing,railway_tram_level_crossing,railway_tram_stop,railway_tram_stop;tram_level_crossing,hour,tmpc,relh,smps,vsby,feel,freezing_fog,light_snow,heavy_snow_showers,moderate_snow_showers,light_snow_showers,drifting_snow,light_fog
0,-4773019581999572651,3.74,862.0,0,0,0,0,0,0,0,0,0,11,11,0,1,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,12,0,0,6,1,0,0,0,1,0,0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
1,-8362368096859141738,2.705,282.0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,1,0,1,0,0,2,0,0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
2,1960386351870197879,5.689,626.0,0,0,0,0,0,0,0,0,0,5,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
3,4432271806888212571,3.119,561.0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,4,0,0,1,0,0,0,2,0,0,19,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
4,7954858864553997021,2.021,390.0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,5,0,0,4,0,0,0,0,1,0,0,19,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
5,517354936006265391,0.601,153.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
6,-3710182445751137803,6.774,939.0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,2,1,0,0,1,0,0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
7,2859083793064530431,3.065,479.00000000000006,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,3,0,1,0,0,2,0,0,19,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
8,7696346570996250349,1.954,513.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
9,4743755655541137708,4.146,599.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
10,6959753370682742742,4.096,618.0,0,0,0,0,0,0,0,0,0,10,13,0,1,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,2,2,0,0,0,0,0,0,19,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
11,-3473963316763285982,5.476,737.0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,2,0,0,0,0,0,0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
12,1929309170783426441,1.23,488.00000000000006,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,19,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
13,-4421254002230037128,5.483,742.0,0,0,0,0,0,0,0,0,0,13,13,0,1,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,7,3,0,3,2,0,0,0,2,0,0,19,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
14,-6295993092405009467,6.158,981.0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,3,0,1,4,2,2,0,0,5,0,0,19,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
15,-7083300310264640733,2.317,404.0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
16,-915439635186486197,3.225,732.0,0,0,0,0,0,0,0,0,0,9,9,0,1,0,0,7,0,0,0,0,0,0,0,0,0,8,1,0,11,0,0,1,3,0,0,0,1,0,0,19,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
17,-4131192656096341458,3.066,382.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,1,0,0,2,0,0,0,0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
18,4393055750410970757,7.141,791.0,0,0,0,0,0,0,0,0,0,9,11,0,2,0,0,9,0,0,0,0,0,0,0,0,0,4,1,0,6,0,1,3,0,0,0,0,4,0,0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
19,-1223722838254810432,2.196,427.0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,3,2,0,7,0,0,0,0,0,0,0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
20,313727491921726838,5.404,765.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,19,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
21,-9061597758188350941,3.869,537.0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,2,0,0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
22,7027375678170664435,3.957,739.0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,4,0,3,0,0,1,0,2,0,0,19,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
23,-7472384635885697728,2.26,385.0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,2,0,0,0,0,0,0,0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
24,-7914985121341420074,2.02,509.00000000000006,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,2,0,0,19,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,1,0,0,0,0,0,1
