Id,route_distance_km,delta_time,speed,distance,lanes_1,lanes_2,lanes_3,lanes_4,lanes_5,lanes_6,highway_living_street,highway_primary,highway_primary_link,highway_residential,highway_secondary,highway_secondary_link,highway_service,highway_tertiary,highway_tertiary_link,highway_trunk,highway_trunk_link,highway_unclassified,oneway_no,oneway_yes,surface_asphalt,surface_cobblestone,surface_cobblestone_flattened,surface_compacted,surface_concrete,surface_concrete_plates,surface_dirt,surface_ground,surface_paved,surface_paving_stones,surface_pebblestone,surface_sett,surface_unhewn_cobblestone,surface_unpaved,hour,tmpc,relh,smps,vsby,feel,freezing_fog,light_snow,heavy_snow_showers,moderate_snow_showers,light_snow_showers,drifting_snow,light_fog
-4773019581999572651,3.74,862.0,30.06024096385542,3052.980078,0.0,15.0,20.0,47.0,1.0,0.0,0.0,33.0,0.0,15.0,24.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,44.0,39.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,0,1,1,0,0,0,0
-8362368096859141738,2.705,282.0,28.333333333333332,1683.871788,0.0,13.0,2.0,30.0,0.0,0.0,0.0,0.0,9.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,9.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,0,1,1,0,0,0,0
1960386351870197879,5.689,626.0,37.0,2246.688759,0.0,8.0,22.0,4.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,19.0,0.0,0.0,12.0,22.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,0,1,1,0,0,0,0
4432271806888212571,3.119,561.0,28.107692307692307,1773.1301230000001,0.0,44.0,14.0,7.0,0.0,0.0,0.0,14.0,0.0,9.0,23.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,63.0,2.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,19,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,0,1,1,0,0,0,0
7954858864553997021,2.021,390.0,22.347826086956523,1788.721427,0.0,20.0,2.0,24.0,0.0,0.0,0.0,3.0,0.0,10.0,18.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,42.0,4.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,0,1,1,0,0,0,0
517354936006265391,0.601,153.0,26.944444444444443,540.796932,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,0,1,1,0,0,0,0
-3710182445751137803,6.774,939.0,33.17307692307692,1897.027636,0.0,21.0,7.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,19.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,26.0,26.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,0,1,1,0,0,0,0
2859083793064530431,3.065,479.00000000000006,28.11111111111111,1000.72325,0.0,17.0,0.0,17.0,2.0,0.0,0.0,11.0,9.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,27.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,0,1,1,0,0,0,0
7696346570996250349,1.954,513.0,32.25,844.248998,0.0,9.0,11.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,0,1,1,0,0,0,0
4743755655541137708,4.146,599.0,30.11111111111111,1955.447068,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,-6.0,100.0,7.9996042,3.2991469999999996,-14.149999999999999,0,1,1,0,0,0,0
